"Plot Title: JR_NH12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10946908, SEN S/N: 10946908)","RH, % (LGR S/N: 10946908, SEN S/N: 10946908)","Host Connected (LGR S/N: 10946908)","Stopped (LGR S/N: 10946908)","End Of File (LGR S/N: 10946908)"
308,06/11/22 11:08:06 AM,21.059,77.451,,,
309,06/11/22 12:08:06 PM,21.991,73.368,,,
310,06/11/22 01:08:06 PM,22.015,76.614,,,
311,06/11/22 02:08:06 PM,22.541,76.808,,,
312,06/11/22 03:08:06 PM,23.141,76.236,,,
313,06/11/22 04:08:06 PM,23.597,75.661,,,
314,06/11/22 05:08:06 PM,23.934,75.409,,,
315,06/11/22 06:08:06 PM,24.103,76.198,,,
316,06/11/22 07:08:06 PM,23.453,77.426,,,
317,06/11/22 08:08:06 PM,22.805,78.040,,,
318,06/11/22 09:08:06 PM,21.656,79.313,,,
319,06/11/22 10:08:06 PM,19.606,83.445,,,
320,06/11/22 11:08:06 PM,18.393,84.524,,,
321,06/12/22 12:08:06 AM,17.418,84.932,,,
322,06/12/22 01:08:06 AM,17.061,86.482,,,
323,06/12/22 02:08:06 AM,16.799,85.171,,,
324,06/12/22 03:08:06 AM,16.490,85.318,,,
325,06/12/22 04:08:06 AM,16.156,85.512,,,
326,06/12/22 05:08:06 AM,15.918,86.187,,,
327,06/12/22 06:08:06 AM,16.085,84.299,,,
328,06/12/22 07:08:06 AM,16.704,81.527,,,
329,06/12/22 08:08:06 AM,17.204,82.522,,,
330,06/12/22 09:08:06 AM,18.584,80.574,,,
331,06/12/22 10:08:06 AM,20.130,78.227,,,
332,06/12/22 11:08:06 AM,20.988,81.685,,,
333,06/12/22 12:08:06 PM,21.513,79.084,,,
334,06/12/22 01:08:06 PM,21.967,78.296,,,
335,06/12/22 02:08:06 PM,22.541,77.613,,,
336,06/12/22 03:08:06 PM,23.141,76.872,,,
337,06/12/22 04:08:06 PM,23.573,76.294,,,
338,06/12/22 05:08:06 PM,23.814,75.647,,,
339,06/12/22 06:08:06 PM,24.079,75.525,,,
340,06/12/22 07:08:06 PM,23.429,77.593,,,
341,06/12/22 08:08:06 PM,22.781,78.350,,,
342,06/12/22 09:08:06 PM,21.656,79.711,,,
343,06/12/22 10:08:06 PM,19.535,83.512,,,
344,06/12/22 11:08:06 PM,18.417,84.612,,,
345,06/13/22 12:08:06 AM,17.489,84.839,,,
346,06/13/22 01:08:06 AM,16.942,85.857,,,
347,06/13/22 02:08:06 AM,16.823,85.041,,,
