Date/Time,WW; Z108A; Climate Temperature(°F),WW; Z108A; Heating Target(°F),WW; Z108A; Cooling Target(°F),WW; Z108A; Ventilation Required(%),WW; Z108A; Heating Required(%)
2022/04/09 14:00:00,75.00,60.0,77.0,36.36,0.00
2022/04/09 20:00:00,76.40,60.0,77.0,31.85,0.00
2022/04/10 02:00:00,67.60,60.0,77.0,0.00,0.00
2022/04/10 08:00:00,64.50,60.0,77.0,0.00,0.00
2022/04/10 14:00:00,77.20,60.0,77.0,38.65,0.00
2022/04/10 20:00:00,76.30,60.0,77.0,54.61,0.00
2022/04/11 02:00:00,67.80,60.0,77.0,0.00,0.00
2022/04/11 08:00:00,63.80,60.0,77.0,0.00,0.00
2022/04/11 14:00:00,76.10,60.0,77.0,31.70,0.00
2022/04/11 20:00:00,76.40,60.0,77.0,44.38,0.00
2022/04/12 02:00:00,67.60,60.0,77.0,0.00,0.00
2022/04/12 08:00:00,64.50,60.0,77.0,0.00,0.00
2022/04/12 14:00:00,80.10,60.0,77.0,52.90,0.00
2022/04/12 20:00:00,84.50,60.0,77.0,83.80,0.00
2022/04/13 02:00:00,71.90,60.0,77.0,20.71,0.00
2022/04/13 08:00:00,62.80,60.0,77.0,0.00,0.01
